Parameter,Coefficient
Intercept,3.5
Dwell_time,0
Music,0
Visualization,0
Squeeze,0
Dwell_x_music,0
Dwell_x_viz,0
Dwell_x_squeeze,0
Music_x_viz,0
Music_x_squeeze,0
Viz_x_squeeze,0
