"Parameter","Coefficient"
"(Intercept)",3.5
"N1",0.2
"Dwell",-0.4
"Music",-1.2
"Viz",-0.8
"Squeeze",-0.9
"B1",-0.1
"Dwell:Music",0.2
"Dwell:Viz",0.2
"Dwell:Squeeze",0.2
"Music:Viz",0.6
"Music:Squeeze",0.6
"Viz:Squeeze",0.1
"Dwell:B1",-0.2
"Music:B1",0
"Viz:B1",1.1
"Squeeze:B1",0
