"PercOracleORD","MSE-Norm","MSE-SoC","PerImpOverTO","MissclassPerc"
0.991243145920288,12.36,12800,1.03052622964236,0.7528
0.989503034279154,12.87,12800,1.03099885189437,0.7426
1,0,12800,1.05965175372823,1
1,0,12800,1.06088560885609,1
0.990604575163399,12.64,12800,1.0281862745098,0.7472
1,0,12800,1.04023857526882,1
1,0,12800,1.04256920632266,1
0.990266435700734,12.44,12800,1.02854079023344,0.7512
1,0,12800,1.05757676902537,1
1,0,12800,1.05783333333333,1
1,0,12800,1.0582336086297,1
1,0,12800,1.03895888594164,1
1,0,12800,1.06002490660025,1
1,0,12800,1.04131186240621,1
1,0,12800,1.05576731852834,1
0.989278752436647,12.36,12800,1.03110786224821,0.7528
1,0,12800,1.03812219077743,1
0.968565656565657,38.04,12800,1.0089696969697,0.2392
1,0,12800,1.03960069301213,1
1,0,12800,1.06047914223488,1
1,0,12800,1.03896428274082,1
1,0,12800,1.04032190460223,1
1,0,12800,1.04025952420562,1
1,0,12800,1.06133579459641,1
1,0,12800,1.04134902220749,1
0.989694176790951,12.66,12800,1.02924172601592,0.7468
1,0,12800,1.05922626412604,1
0.991305774278215,12.4,12800,1.02862532808399,0.752
1,0,12800,1.0403024763171,1
1,0,12800,1.03873649210308,1
1,0,12800,1.03922388559003,1
1,0,12800,1.03719076871991,1
1,0,12800,1.03803131991051,1
1,0,12800,1.06018751046375,1
0.989118607181719,12.44,12800,1.02678496693731,0.7512
1,0,12800,1.04086898618279,1
1,0,12800,1.05654885654886,1
1,0,12800,1.05947026486757,1
1,0,12800,1.06101525381345,1
0.990104772991851,13.04,12800,1.02968568102445,0.7392
1,0,12800,1.03926636098374,1
1,0,12800,1.03918771502895,1
1,0,12800,1.03815394868377,1
1,0,12800,1.04106037798963,1
1,0,12800,1.06397728221832,1
1,0,12800,1.0560391279118,1
1,0,12800,1.03797256607561,1
1,0,12800,1.05742064151571,1
0.961710067331873,50,12800,1,0
0.989517470881864,12.69,12800,1.03028286189684,0.7462
1,0,12800,1.03804845558238,1
1,0,12800,1.06208651399491,1
1,0,12800,1.04133790737564,1
1,0,12800,1.03905404280123,1
1,0,12800,1.06403777648911,1
0.990174221781851,12.15,12800,1.03063330856246,0.757
1,0,12800,1.04221459083675,1
