"Parameter","Coefficient"
"(Intercept)",3.3
"N1",0.1
"Dwell",-0.4
"Music",-1.2
"Viz",-0.9
"Squeeze",-0.8
"B1",-0.1
"B2",0.1
"Dwell:Music",0.2
"Dwell:Viz",0.2
"Dwell:Squeeze",0.2
"Music:Viz",0.6
"Music:Squeeze",0.6
"Viz:Squeeze",0.6
"Dwell:B1",-0.2
"Music:B1",0
"Viz:B1",1.1
"Squeeze:B1",0
"Dwell:B2",0
"Music:B2",1.3
"Viz:B2",0
"Squeeze:B2",0
