"PercOracleORD","MSE-Norm","MSE-SoC","PerImpOverTO","MissclassPerc"
1,0,12800,1.11393777629494,1
1,0,12800,1.06031693354352,1
1,0,12800,1.1106762158561,1
1,0,12800,1.06152172093413,1
1,0,12800,1.04090267983075,1
1,0,12800,1.0593993695039,1
1,0,12800,1.10974902675391,1
1,0,12800,1.11538461538462,1
1,0,12800,1.11317623630933,1
0.971237676199788,37.42,12800,1.00879980444879,0.2516
0.971591836734694,37.12,12800,1.00963265306122,0.2576
1,0,12800,1.04112916736472,1
1,0,12800,1.05928005284016,1
1,0,12800,1.1121526898066,1
1,0,12800,1.11230743746894,1
1,0,12800,1.06172839506173,1
0.989300411522634,12.1,12800,1.09818930041152,0.758
1,0,12800,1.11346863468635,1
0.990770236053255,12.79,12800,1.02932287837948,0.7442
1,0,12800,1.04042445679636,1
1,0,12800,1.0619218268189,1
0.94693749015903,147.92,12800,1,0.2604
1,0,12800,1.10895903733619,1
1,0,12800,1.11189456895828,1
0.971036708350141,37.07,12800,1.0255748285599,0.2586
0.990614262968239,12.43,12800,1.1019860889969,0.7514
1,0,12800,1.05887244304008,1
0.989211618257261,12.46,12800,1.03095435684647,0.7508
1,0,12800,1.0405099387738,1
1,0,12800,1.05963800150138,1
1,0,12800,1.10907416708522,1
1,0,12800,1.06036984824612,1
1,0,12800,1.06173963419681,1
1,0,12800,1.11981951871658,1
1,0,12800,1.11488250652742,1
1,0,12800,1.06216078697422,1
1,0,12800,1.10902938263453,1
0.960106169066195,50,12800,1,0
1,0,12800,1.06441510072795,1
1,0,12800,1.06080858085809,1
1,0,12800,1.05965672387935,1
0.990827204363276,12.12,12800,1.0984216180481,0.7576
1,0,12800,1.0414481897628,1
1,0,12800,1.10961893570589,1
1,0,12800,1.11545278082539,1
1,0,12800,1.05921881562369,1
0.962357954545455,50,12800,1,0
1,0,12800,1.05786920889781,1
1,0,12800,1.11446646984395,1
1,0,12800,1.11198246057846,1
1,0,12800,1.06207468879668,1
1,0,12800,1.05995985950828,1
1,0,12800,1.05914067684141,1
1,0,12800,1.05916769674495,1
1,0,12800,1.0417776298269,1
1,0,12800,1.06244739942771,1
1,0,12800,1.11779469589224,1
1,0,12800,1.03883736336535,1
1,0,12800,1.05995663775851,1
1,0,12800,1.05550477773162,1
1,0,12800,1.06100418410042,1
1,0,12800,1.05893909626719,1
0.961281494003059,50,12800,1,0
1,0,12800,1.11340983331937,1
1,0,12800,1.11547094521573,1
1,0,12800,1.11633788568538,1
0.990209906247407,12.2,12800,1.09906247407284,0.756
1,0,12800,1.11098042510292,1
0.989971821647605,11.99,12800,1.02743245483176,0.7602
1,0,12800,1.06197135918265,1
0.989126853377265,12.96,12800,1.02792421746293,0.7408
0.991732086186738,12.06,12800,1.09846333723067,0.7588
1,0,12800,1.06097359735974,1
1,0,12800,1.05895033579305,1
