"","x"
"1",0.0895774647887324
"2",0.0901408450704225
"3",0.0974647887323944
"4",0.0957746478873239
"5",0.0984037558685446
"6",0.0940845070422535
"7",0.0905164319248826
"8",0.0952112676056338
"9",0.0888262910798122
"10",0.0935211267605634
"11",0.0914553990610329
"12",0.100093896713615
"13",0.0865727699530516
"14",0.0948356807511737
"15",0.0907042253521127
"16",0.0987793427230047
"17",0.0978403755868545
"18",0.101784037558685
"19",0.0937089201877934
"20",0.091830985915493
"21",0.088075117370892
"22",0.0955868544600939
"23",0.0901408450704225
"24",0.092206572769953
"25",0.0937089201877934
"26",0.100093896713615
"27",0.102910798122066
"28",0.0950234741784038
"29",0.0897652582159624
"30",0.0923943661971831
"31",0.0884507042253521
"32",0.0965258215962441
"33",0.0948356807511737
"34",0.0884507042253521
"35",0.0933333333333333
"36",0.0948356807511737
"37",0.0869483568075117
"38",0.092018779342723
"39",0.0942723004694836
"40",0.0946478873239437
"41",0.0935211267605634
"42",0.0901408450704225
"43",0.092018779342723
"44",0.0903286384976526
"45",0.092206572769953
"46",0.0925821596244131
"47",0.0978403755868545
"48",0.0835680751173709
"49",0.0916431924882629
"50",0.0923943661971831
"51",0.092018779342723
"52",0.092018779342723
"53",0.0940845070422535
"54",0.0908920187793427
"55",0.0942723004694836
"56",0.0974647887323944
"57",0.0940845070422535
"58",0.0982159624413146
"59",0.100281690140845
"60",0.0985915492957746
"61",0.0953990610328638
"62",0.0905164319248826
"63",0.0901408450704225
"64",0.0890140845070422
"65",0.0970892018779343
"66",0.0912676056338028
"67",0.0914553990610329
"68",0.087887323943662
"69",0.0974647887323944
"70",0.099906103286385
"71",0.0882629107981221
"72",0.0940845070422535
"73",0.0946478873239437
"74",0.092018779342723
"75",0.0985915492957746
"76",0.0925821596244131
"77",0.100845070422535
"78",0.092018779342723
"79",0.0931455399061033
"80",0.0974647887323944
"81",0.0925821596244131
"82",0.0923943661971831
"83",0.0848826291079812
"84",0.0908920187793427
"85",0.0982159624413146
"86",0.0929577464788732
"87",0.0933333333333333
"88",0.0892018779342723
"89",0.0944600938967136
"90",0.0995305164319249
"91",0.0937089201877934
"92",0.0858215962441315
"93",0.0946478873239437
"94",0.0884507042253521
"95",0.0912676056338028
"96",0.0952112676056338
"97",0.0955868544600939
"98",0.0974647887323944
"99",0.0927699530516432
"100",0.0942723004694836
"101",0.091830985915493
"102",0.0952112676056338
"103",0.0856338028169014
"104",0.0912676056338028
"105",0.0969014084507042
"106",0.0865727699530516
"107",0.0899530516431925
"108",0.0948356807511737
"109",0.100093896713615
"110",0.0897652582159624
"111",0.0942723004694836
"112",0.0940845070422535
"113",0.0948356807511737
"114",0.0950234741784038
"115",0.0944600938967136
"116",0.092018779342723
"117",0.0860093896713615
"118",0.0925821596244131
"119",0.0952112676056338
"120",0.0908920187793427
"121",0.091830985915493
"122",0.0937089201877934
"123",0.0860093896713615
"124",0.0952112676056338
"125",0.0867605633802817
"126",0.0978403755868545
"127",0.0955868544600939
"128",0.0984037558685446
"129",0.0952112676056338
"130",0.0940845070422535
"131",0.0974647887323944
"132",0.0982159624413146
"133",0.0905164319248826
"134",0.092018779342723
"135",0.0976525821596244
"136",0.0965258215962441
"137",0.0970892018779343
"138",0.0963380281690141
"139",0.0905164319248826
"140",0.0970892018779343
"141",0.092018779342723
"142",0.0907042253521127
"143",0.0957746478873239
"144",0.0882629107981221
"145",0.100281690140845
"146",0.0892018779342723
"147",0.0969014084507042
"148",0.0955868544600939
"149",0.0948356807511737
"150",0.0886384976525822
"151",0.0989671361502347
"152",0.0953990610328638
"153",0.0970892018779343
"154",0.0946478873239437
"155",0.0963380281690141
"156",0.0931455399061033
"157",0.0931455399061033
"158",0.0955868544600939
"159",0.0888262910798122
"160",0.096150234741784
"161",0.0937089201877934
"162",0.0925821596244131
"163",0.0923943661971831
"164",0.0933333333333333
"165",0.0933333333333333
"166",0.0953990610328638
"167",0.102535211267606
"168",0.0905164319248826
"169",0.0940845070422535
"170",0.100469483568075
"171",0.0863849765258216
"172",0.100845070422535
"173",0.0837558685446009
"174",0.0953990610328638
"175",0.0942723004694836
"176",0.0905164319248826
"177",0.0923943661971831
"178",0.0953990610328638
"179",0.101784037558685
"180",0.0965258215962441
"181",0.0980281690140845
"182",0.102535211267606
"183",0.0925821596244131
"184",0.0948356807511737
"185",0.0931455399061033
"186",0.0908920187793427
"187",0.0931455399061033
"188",0.0929577464788732
"189",0.0848826291079812
"190",0.0901408450704225
"191",0.0957746478873239
"192",0.0955868544600939
"193",0.0953990610328638
"194",0.0938967136150235
"195",0.0914553990610329
"196",0.0940845070422535
"197",0.0980281690140845
"198",0.0955868544600939
"199",0.0944600938967136
"200",0.0910798122065728
"201",0.100657276995305
"202",0.0933333333333333
"203",0.0908920187793427
"204",0.0907042253521127
"205",0.095962441314554
"206",0.100093896713615
"207",0.0910798122065728
"208",0.0952112676056338
"209",0.0957746478873239
"210",0.0963380281690141
"211",0.0950234741784038
"212",0.0935211267605634
"213",0.0953990610328638
"214",0.0875117370892019
"215",0.0903286384976526
"216",0.0907042253521127
"217",0.0892018779342723
"218",0.0931455399061033
"219",0.0910798122065728
"220",0.092018779342723
"221",0.0886384976525822
"222",0.0923943661971831
"223",0.0989671361502347
"224",0.0952112676056338
"225",0.0897652582159624
"226",0.100281690140845
"227",0.0948356807511737
"228",0.0942723004694836
"229",0.0916431924882629
"230",0.088075117370892
"231",0.0953990610328638
"232",0.0914553990610329
"233",0.0820657276995305
"234",0.0937089201877934
"235",0.0948356807511737
"236",0.0882629107981221
"237",0.0929577464788732
"238",0.0969014084507042
"239",0.0931455399061033
"240",0.088075117370892
"241",0.0944600938967136
"242",0.0952112676056338
"243",0.0882629107981221
"244",0.0952112676056338
"245",0.100093896713615
"246",0.101408450704225
"247",0.0912676056338028
"248",0.0940845070422535
"249",0.0997183098591549
"250",0.0892018779342723
"251",0.103286384976526
"252",0.0948356807511737
"253",0.0882629107981221
"254",0.0897652582159624
"255",0.0888262910798122
"256",0.0965258215962441
"257",0.0955868544600939
"258",0.0846948356807512
"259",0.0923943661971831
