"PercOracleORD","MSE-Norm","MSE-SoC","PerImpOverTO","MissclassPerc"
0.98951134238556,11.5000000000001,10030.22,1.12814049922758,0.77
0.972253498471932,36.84,10084.84,1.10567797973299,0.2632
1,0,10079.39,1.13865683865684,0.9728
0.968564415234777,61.0699999999998,10035.78,1.1217831974028,0.1054
0.983401471790679,43.2400000000001,10091.26,1.11995094031071,0.7838
1,0,10057.74,1.14176716711789,0.9742
1,0,10032.09,1.16223338548958,0.9758
0.979952734088501,27.4099999999998,10085.5,1.13372993236085,0.4268
0.978111066072152,26.47,10049.99,1.11706526145116,0.2754
0.990882207984229,11.1100000000001,10054.77,1.13109906357812,0.7778
1,2.6091574440185e-28,10052.63,1.14085667215815,0.8002
0.983633387888707,43.2000000000001,10057.15,1.12176759410802,0.784
1,0,10058.87,1.13988095238095,0.9762
1,0,10018.18,1.13928218636813,0.9752
0.990046067785456,11.6400000000001,9993.8,1.12693320171109,0.7672
0.97991935483871,26.09,10042.81,1.11701612903226,0.454
1,2.57809604587542e-28,10058.14,1.14209664209664,0.8032
1,0,10058.65,1.13936710936219,0.9758
1,2.6318371950436e-28,10035.76,1.14316398182569,0.8012
1,2.87983534212246e-28,10057.03,1.16029218647406,0.7942
0.978521438339635,26.4299999999999,10050.6,1.13772021559006,0.2772
0.982881480874765,26.3599999999998,10050.98,1.13703005979196,0.2668
1,0,10040.77,1.14446107784431,0.9754
1,2.96020054684185e-28,10006.36,1.16486240806545,0.7904
1,0,9983.64,1.15863242323584,0.9718
0.98674042137802,35.5999999999999,9999.89,1.12966729032783,0.618
1,0,10088.69,1.13888888888889,0.9772
1,2.6974112577901e-28,10033.82,1.13831348882727,0.795
0.990288092711989,11.5800000000001,10041.25,1.12943768872929,0.7684
0.978705978705979,26.5799999999999,10078.06,1.12145782145782,0.4446
1,2.69100176293518e-28,10047.93,1.13892944038929,0.803
1,0,10043.02,1.14052885414934,0.9774
1,0,10084,1.14187794202659,0.9744
0.98037657901009,25.7499999999999,10046.2,1.11734329069675,0.4598
1,0,10023.2,1.13830740408895,0.9764
1,0,10069.56,1.14461564227098,0.9744
0.966994106090373,62.2999999999998,10119.53,1.09516699410609,0.0936
1,0,9979.28,1.13793953335524,0.9712
1,0,10016.39,1.15846377279329,0.9736
0.982366739464531,26.32,10083.79,1.11809431367791,0.2812
0.98634257377449,35.3599999999999,10057.59,1.12194130558491,0.6226
0.966632074718608,61.3599999999998,10064.1,1.106011016205,0.2706
1,0,10005.79,1.16566716641679,0.9742
0.97918022121015,25.91,10050.4,1.11865647364997,0.2842
0.990149788342559,11.3400000000001,10034.82,1.12984369912081,0.7732
0.978512527751348,26.1699999999998,10040.59,1.11639708214399,0.4506
0.97925244207637,26.82,10094.69,1.12165980463389,0.4392
1,0,10098.42,1.13808390115754,0.9754
0.98149195829629,26.5099999999999,10025.85,1.11816051078962,0.259
0.99064182194617,10.8100000000001,10097.9,1.1392132505176,0.7838
1,0,10047.57,1.13549022828051,0.9732
0.968637778309792,60.7699999999998,10001.77,1.10350331178677,0.1006
0.986813186813187,35.7599999999999,10049.94,1.12275132275132,0.623
0.991841107631449,11.3800000000001,10024.38,1.1322729520356,0.7724
1,0,10001.15,1.1459387704306,0.9762
0.986369168356998,34.5599999999999,10056,1.12235294117647,0.63
1,2.62887896664902e-28,10045.9,1.14361078546307,0.8024
0.979269576483926,26.17,9982.31,1.12114341242206,0.4468
1,0,10065.05,1.14688378244338,0.9746
1,0,10062.57,1.14135126162019,0.9736
1,0,10115.4,1.15710990278464,0.976
1,0,10044.41,1.14227709645343,0.9752
1,0,10108.31,1.14240196078431,0.9754
0.979817550657948,26.4799999999998,10047.32,1.13441511261807,0.4478
0.972662217576586,104.04,10010.59,1.12856798263247,0.7688
1,2.60422706336087e-28,10041.83,1.14195215470534,0.7998
1,2.86060685755769e-28,10021.03,1.16240739199201,0.7918
0.978075517661389,25.96,10036.53,1.11831100284206,0.4544
1,0,10030.72,1.1445853495745,0.973
0.990765710549971,11.1100000000001,10069.78,1.13303914358094,0.7778
0.987813620071685,34.8399999999999,10019.89,1.14551971326165,0.6276
1,2.53865300061437e-28,10107.34,1.13655949618827,0.8072
1,2.48195362305161e-28,10098.91,1.13930930679823,0.8122
1,2.70628594297383e-28,10071.5,1.14191392239974,0.801
1,2.77777646250949e-28,10014.75,1.1456384323641,0.7936
0.989274396684814,11.8900000000001,10014.93,1.12886974892338,0.7622
0.979767854264066,26.8299999999998,10093,1.13404804127035,0.4372
1,0,10036.99,1.13990863109806,0.974
0.964877349474355,145.86,10085.04,1.10345651481363,0.6148
0.981044581841848,25.9,10034.14,1.11934591604295,0.4574
1,0,10038.42,1.14276326597667,0.9722
1,2.69987644811891e-28,10058.14,1.14200890648194,0.8042
1,0,10056.78,1.13980630742488,0.9748
1,2.60718529175544e-28,10079.21,1.14241845796332,0.8064
1,0,10098.55,1.14028356964137,0.9736
1,2.64909352734531e-28,10054.24,1.14369012911287,0.802
0.979855537720706,26.92,10083.23,1.130658105939,0.2684
0.966088265589098,61.4699999999998,10082.72,1.10339909674352,0.1022
0.977366421469566,26.7399999999998,10077.95,1.12214048985531,0.44
1,0,10075.84,1.14404136572554,0.9724
1,0,10012.33,1.14373919486293,0.9742
0.978523599542708,26.4599999999999,10046.13,1.13751429038053,0.4454
0.984520625658481,35.9599999999999,10089.02,1.12002593403031,0.6274
0.961384713783179,153.3,10008.6,1.10113527342501,0.592
1,2.66043340285786e-28,10064.35,1.13816114681167,0.8034
0.982667731629393,25.78,10014.45,1.12044728434505,0.2782
0.977750906892382,26.4299999999998,10034.05,1.13736396614268,0.2702
0.988177180338489,34.9599999999999,10058.75,1.1411450319864,0.6272
1,0,9989.69,1.13482778368649,0.9736
0.993178829717291,10.7800000000001,10111.95,1.13412228796844,0.7844
0.979455405185064,26.14,10094.25,1.11544105657916,0.278
1,2.7708739295888e-28,10079.85,1.14263387348853,0.8012
1,2.83003849748038e-28,10016.75,1.14206264823751,0.797
1,0,10078.29,1.15043514297555,0.9766
0.987091012421856,33.7199999999999,9981.75,1.1496305918649,0.807
0.970745542949757,37.27,10032.23,1.11158833063209,0.2546
1,0,10046.44,1.15840933366198,0.9738
1,0,10005.2,1.1650260567458,0.9766
0.970844072164949,37.28,10038.24,1.10800579896907,0.2544
1,0,10070.07,1.14404223227753,0.976
1,0,10083.08,1.15886232481451,0.9782
1,2.74572898823488e-28,10033.14,1.14175833264412,0.8024
0.98679432155827,35.8799999999999,10099.35,1.12892043578739,0.6326
0.979528437151506,26.1699999999999,9990.35,1.13772502787956,0.2694
0.991561879549967,11.2400000000001,10046.49,1.13343812045003,0.7752
0.985515409994367,36.5999999999999,10064.04,1.14540918966766,0.6222
1,2.8832866085828e-28,9975.71,1.21299818091616,0.7922
0.982263785875524,26.0099999999999,10049.28,1.11431796194776,0.2796
0.970269408576439,37.6,10064.08,1.10608959030767,0.248
0.977629890955741,45.16,10026.01,1.11698203976908,0.6062
0.978728626360141,26.5,10077.03,1.12149226867381,0.4456
0.971823116219668,36.97,10067.85,1.10743933588761,0.2606
1,0,10010.39,1.14126272912424,0.9772
0.971257961783439,37.6199999999999,10028.98,1.10684713375796,0.2476
1,0,10010.6,1.13829787234043,0.9718
0.978646833013436,26.1199999999999,10046.99,1.11548304542546,0.2764
1,2.42377513129156e-28,10086.18,1.13954643270982,0.8106
1,0,10064.62,1.13722140881731,0.9786
1,0,10072.84,1.14039713273461,0.9784
0.981551020408163,26.7699999999999,10123.49,1.11232653061224,0.4418
1,0,10061.51,1.13663382460712,0.9734
1,0,10096.26,1.14168462941469,0.9754
0.979190101237345,25.9399999999998,9999.69,1.13827735818737,0.2702
1,0,9982.54,1.14614422676115,0.9754
0.992548923278474,11.1800000000001,10026.47,1.12748710390567,0.7764
0.989805000404563,11.3000000000001,10074.99,1.12622380451493,0.774
1,0,10098.3,1.13874927906402,0.9734
0.97908084968904,25.9699999999998,9992.93,1.12034569097811,0.2706
1,2.79848406127154e-28,10043.27,1.24222680412371,0.7978
0.990504546551863,11.1600000000001,10055.1,1.13076365977307,0.7768
1,2.76002709214202e-28,9965.3,1.13731294195034,0.7924
1,2.66240555512091e-28,10025.53,1.13988828651224,0.8032
0.978615644344401,26.3999999999998,10047.88,1.11367473269555,0.2714
0.962166531932094,61.4599999999998,10104.77,1.11721907841552,0.0934
0.978917835671343,26.3599999999999,10066.73,1.13394789579158,0.4482
1,0,10066.7,1.13787157168665,0.9758
1,0,10094.96,1.14594908367195,0.976
1,0,10050.52,1.14107201578428,0.9718
0.965755034871875,61.7899999999999,10040.56,1.10148107515085,0.2756
0.987258561921766,33.8399999999999,10052.38,1.12400584320727,0.6348
0.983090238820324,43.9600000000001,10058.25,1.13623978201635,0.7802
0.97482335742711,26.5999999999999,10062.56,1.11654349061967,0.2714
1,2.73784037918267e-28,10086,1.13817523056653,0.8044
1,0,10093.51,1.13805877994567,0.976
0.979745181313296,26.49,10114.97,1.11442339104868,0.2758
0.982457552104289,26.76,10057.86,1.1147501408224,0.4388
1,2.91484104479164e-28,9947.43,1.13977423638778,0.7806
0.979819906737418,26.4,9989.08,1.11995497668435,0.266
1,2.69790429585586e-28,10052.4,1.14078881677484,0.7972
0.992058293761258,10.9100000000001,10102.43,1.13582773866055,0.7818
0.981609195402299,26.28,10070.67,1.11666666666667,0.4508
0.967222222222222,61.4599999999998,10042.95,1.12071428571429,0.2778
0.965855226158914,60.3099999999999,10041.96,1.10315738732225,0.1016
0.980343388960205,26.5899999999998,10040.95,1.11745827984596,0.4388
1,0,10062.43,1.13762221674472,0.977
0.991957778336265,11.7600000000001,10020.82,1.13453966658289,0.7648
1,0,10060.41,1.13903260244724,0.9742
1,0,10076.51,1.14520233111713,0.9736
0.987156413612565,34.9999999999999,10077.66,1.125,0.6328
1,0,10089.72,1.13859345370599,0.9754
0.982387154911117,25.98,10031.97,1.12042270828213,0.4532
1,0,10042.71,1.14283326368575,0.9744
0.972872297352012,37.8099999999999,10020.37,1.1064053769536,0.2438
0.975976704683329,45.08,10016.81,1.11324112270485,0.6036
1,2.75904101601049e-28,10028.2,1.1420814479638,0.7946
0.981268590722727,26.0899999999999,10035.34,1.13722968084251,0.2756
1,0,10034.28,1.139687008363,0.9738
1,0,10022.03,1.14351509170162,0.9764
0.987279441936808,34.4799999999999,10006.47,1.2201066885515,0.7992
1,2.79651190900849e-28,10065.31,1.13734392735528,0.7944
0.955161544523247,169.57,10016.51,1.08723404255319,0.1058
1,2.61112959628155e-28,10061.46,1.13963444755475,0.8048
0.979523576439876,26.3799999999998,10022.3,1.12122695382607,0.449
0.979916727896155,25.99,10048.49,1.11796881378072,0.4548
0.979298587433025,26.58,10089.72,1.12226010716025,0.4424
0.989858179419525,11.1400000000001,10055.73,1.13406992084433,0.7772
0.979653292097339,25.8499999999999,10011.77,1.12028973712053,0.2844
0.988037109375,34.3599999999999,9999.17,1.12662760416667,0.6246
0.982144313086017,26.1799999999999,10078.42,1.11830411740726,0.4536
1,2.6412049182931e-28,10055.49,1.14407754230327,0.807
0.978545984455959,26.2699999999999,10023.87,1.11884715025907,0.4522
0.978979957634023,26.26,10037.86,1.11903210037478,0.45
0.986813364614513,35.2399999999999,10092.71,1.11973141331607,0.6308
1,2.90103597895027e-28,10038.86,1.14394446303111,0.7976
0.970533922119631,37.5299999999999,10068.73,1.10895222802088,0.2494
