"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.000267490949716812,1.02307624915261e-82,3.1275507431369e-43,2.07565203623446e-34,2.27626363226864e-76,9.86153103438411e-33,2.29197402991467e-32,1.81236493333219e-151,2.25540502593549e-182,4.73489474030721e-50
2.77804117696277e-07,3.20504946070737e-87,5.96683938094366e-27,5.53027109074888e-34,1.44499783559344e-86,4.88375453772672e-31,2.13668683830544e-28,2.0980926127115e-188,7.28208476200389e-163,3.81457351324748e-42
6.87855890614747e-12,3.7847363575209e-79,1.51626117896856e-14,7.97132945959949e-38,1.04538154626056e-110,7.31531277476417e-23,3.32934689727894e-43,7.02587599616491e-99,2.54435008870166e-169,2.21215006125859e-32
3.30210809407085e-06,3.43918641310069e-90,1.31884265474488e-29,3.25500304152655e-40,7.29634995364515e-67,1.70481006591314e-28,4.10289141462924e-37,2.32148301448118e-136,1.3055202818788e-178,1.07329772342505e-36
4.62830926170359e-08,4.20742284651198e-81,4.11958681140015e-24,1.61665415486123e-28,1.83017376272792e-132,4.13357108769674e-26,8.53755196922049e-27,7.9477536528054e-147,3.27466414482303e-173,7.1408441231666e-38
3.1079333043409e-08,1.39276069193806e-83,4.9870608315158e-33,5.41393383478863e-42,4.24088086136191e-72,5.30216229333233e-29,2.6531426300111e-32,3.27443867536288e-145,4.52785098806088e-165,3.32056957874979e-39
9.81777839367566e-07,1.2139518757076e-92,1.48844705746213e-37,1.58961544963519e-36,1.04949439634732e-94,6.16598408250887e-31,3.17508394729347e-36,8.86795133158719e-174,5.18555513855922e-144,3.70679187821292e-33
3.52768494938123e-06,2.08678046118052e-67,4.16414407589978e-17,3.74964707237931e-34,1.84868886841613e-103,1.49951378854382e-27,3.36335376801932e-31,4.08200629755701e-82,5.06159384922147e-172,1.24595718359073e-35
3.4903012514626e-09,3.16222831835886e-92,5.82059202714325e-23,6.70143285736548e-46,1.35385672692327e-88,3.9554449531696e-31,1.75692755659405e-52,1.74533236646869e-58,7.94815299442083e-185,3.53822671250818e-50
1.10284402847074e-10,2.66367540590457e-97,5.07208609569456e-34,7.13157720339739e-51,6.26122857616754e-69,1.90078570796781e-25,1.40363966307683e-33,2.07030737331355e-142,7.3499870145284e-196,1.1566089709651e-41
