"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.000252558957501189,1.85632419900402e-86,5.13375183957716e-41,1.37192206213618e-35,3.35210684209092e-81,1.1197629495593e-34,2.25924963969221e-32,5.86763472542559e-164,1.40477764073638e-193,1.43206814498221e-53
1.02127318273291e-07,2.0037362978451e-88,3.48140104535234e-27,2.29706644890501e-31,1.15961384573916e-85,2.85160927200205e-26,4.10060494800615e-31,5.89533727799062e-193,5.37527776285349e-168,4.38069034852984e-39
1.44937007082079e-11,4.44393310742057e-77,2.23055643070835e-15,2.87496746095936e-37,9.7129544568128e-112,4.9293276078505e-21,4.42164784478429e-45,2.84228757746974e-99,8.70889718103949e-170,4.4016988228784e-32
1.36683007683531e-06,1.64202960144068e-95,1.01597848286623e-32,2.63529112681684e-40,2.5325606276111e-66,9.15403749450561e-31,2.40793646453843e-38,7.50697441300698e-144,6.95874196740715e-185,3.80200102606689e-37
7.07612302375725e-08,3.65995924870445e-82,7.24682364189654e-25,3.9391274801529e-28,8.96795959889179e-134,1.55465836341065e-22,1.75208861771413e-24,3.68228897913445e-150,1.6543128130648e-185,6.58519252990736e-40
6.79307152132242e-09,6.38374779999365e-97,4.67967800179393e-32,7.21515118421535e-41,2.76450294430901e-71,3.04244049261288e-31,1.01278371266533e-32,1.52078423324228e-151,1.26490420463998e-173,5.23020489445353e-38
2.12789009589965e-06,8.30707109276369e-100,2.20273104485188e-36,4.83089866100838e-36,5.65278068435831e-97,1.47751998103935e-29,4.9048127812529e-39,1.63158753022214e-175,2.95692621411086e-158,5.17834024468854e-32
4.63904034214339e-06,4.9608035467317e-68,2.45944775959896e-16,1.00141841958627e-37,1.17782601567356e-99,3.06078490964569e-25,5.0773076207313e-31,3.63474451753147e-84,2.2084114791484e-160,5.11933744399249e-33
2.66378440917485e-09,1.44942139811265e-88,3.98282096117001e-24,1.96476925818984e-47,2.08506924896831e-91,4.8493333857549e-30,8.17105910816522e-55,2.12398204087705e-60,5.72970332840058e-184,2.8569712454965e-52
2.04586629972096e-09,1.10431894262272e-95,9.04986699841629e-34,5.31202036091103e-53,4.31486928341209e-58,3.62281742927152e-26,3.03352788306509e-31,3.12863224172977e-148,2.07773161530473e-194,3.88454645225885e-42
0.000369216185389711,1.34796200453059e-86,4.49311648151101e-39,2.61663122581934e-38,5.0858186148254e-55,3.07467369365071e-41,2.0659951564109e-41,1.51797811396519e-165,9.95250158977647e-205,4.70717619347905e-42
3.07944732944544e-05,3.66315032950833e-66,7.58102309839324e-26,1.43022482646428e-41,5.62521331608733e-51,1.33602268217182e-26,4.06342084672932e-39,2.27026925764947e-153,5.39754568336804e-188,6.54143787709079e-43
4.26213439154817e-06,9.09969535305014e-95,1.82412900550149e-24,2.776463099965e-35,1.62338906002993e-56,5.36973482003313e-25,2.08484803811085e-35,1.74761360907916e-129,4.04499985954722e-187,1.77313620743149e-40
4.72470820254884e-07,4.58600715345128e-106,1.35885198925245e-28,2.15584744246046e-34,9.78787199008161e-89,8.18918865029602e-24,2.34262135531635e-34,2.50768902543493e-153,2.64392064134657e-194,2.26070050932225e-44
3.20298325734523e-09,8.17479688781331e-76,1.98927854082689e-18,3.32743085440799e-37,1.38642810558093e-87,3.29542292435936e-27,3.89278460496701e-30,3.29597429328184e-139,7.0239258232092e-157,3.0317025198849e-29
