"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2.36967754847831e-06,1.86956545509074e-86,1.55169156884024e-26,1.2552876411202e-40,1.58344783226365e-63,4.76084813714052e-31,3.04403622356026e-31,9.07350935445472e-118,7.84584839271661e-183,5.48816132148552e-72
2.77729748694065e-07,1.45086855054877e-77,1.65964318929265e-19,1.09685606278336e-36,3.91429147222175e-121,6.48829942043043e-28,8.16729988608557e-23,2.18762862846569e-73,4.42126154989377e-164,1.90376133322658e-34
3.19788155514003e-07,1.99461383593327e-97,2.56548451295531e-22,1.05228280411804e-41,6.99286819684971e-108,4.73590609302362e-24,9.2763765867181e-31,2.47849392430749e-129,5.10368944762709e-147,4.27395227385373e-42
3.53166498029051e-07,3.05702561955906e-73,3.15969624811028e-30,1.06399161113563e-32,2.47067835526472e-75,2.24606869415843e-23,3.27453854368141e-26,3.42953843925588e-129,8.02281331553852e-145,1.66414450495124e-33
6.53203781559099e-07,1.37644498710407e-98,1.70515167822558e-30,2.10364650644646e-37,1.71669779594828e-103,1.69885102339649e-29,2.83250608426805e-29,2.05432602027254e-102,7.37926976433603e-195,4.17820594329246e-45
1.33770541437812e-10,6.05962307324e-112,2.63335592202408e-29,2.80788290526653e-59,9.78454415369856e-111,1.8293251486176e-37,9.6777329960559e-37,5.05527737074728e-117,2.69250760000521e-203,5.93966359253534e-56
3.68518908978903e-09,4.68041702591809e-90,5.13894081837004e-31,2.22918875341581e-51,5.79941552947456e-46,3.04511761343459e-33,1.65553340754085e-38,1.03967916893013e-154,2.21655087346453e-201,1.61346508880037e-37
5.87634287958729e-09,2.5675434260122e-87,1.16617272607513e-23,1.43018500277798e-52,2.86694819647541e-109,1.66962282209813e-29,5.48507318053432e-55,5.84709356431399e-99,5.37600962661667e-185,2.26657514898134e-38
8.93390992079566e-08,1.21945077262707e-87,6.93888053260808e-30,1.83144232024434e-35,7.16512758194674e-100,7.37068274396172e-26,7.01392092778303e-27,4.7729443155824e-165,1.40872012291422e-126,9.05694390847622e-37
6.06775780950011e-07,1.87267879471642e-98,1.02354073739182e-29,1.2191995913555e-39,6.84841641286996e-59,4.82385917786971e-31,7.08220485263159e-30,3.69619708995703e-167,6.82895916963434e-195,1.22388553966699e-32
8.14008901332608e-13,1.66645586874892e-105,1.06472033220408e-18,2.84676133715336e-56,9.40120255395034e-157,1.93460754010375e-33,5.56504882270373e-49,5.20622570117089e-114,8.79853894720367e-198,4.64655981499986e-34
7.60337386118607e-07,3.13739761543023e-73,3.02915863526788e-28,1.1256315453268e-28,3.60734457600416e-47,2.26747721726244e-30,1.81023660558555e-33,9.4087877020086e-161,1.64164889198361e-152,1.01857243709334e-40
1.36216891738878e-07,2.10997468123663e-81,3.01252866522838e-29,1.85153197817301e-40,1.93236561596448e-61,4.00734114191031e-25,3.59463894694566e-25,1.07528847144293e-139,1.74482451096175e-175,9.4002830526486e-45
3.46445182123139e-06,2.60231196841691e-84,1.37080254488494e-24,4.72005917523244e-37,4.25183999083666e-67,4.42994732464011e-31,3.73431358631836e-32,7.45745322426127e-151,7.70162407547514e-184,2.85227085199708e-47
3.09958183464006e-11,3.25399190487529e-79,1.40357333833537e-39,2.66886489967701e-34,1.41048415396361e-55,9.71337648435428e-22,2.64418632079995e-24,1.46197759964745e-177,1.07515982987539e-196,7.56284320678287e-41
1.20718970709232e-05,1.66037326765271e-85,3.51467120965624e-23,4.41928423820423e-37,2.71277548927801e-51,2.0980284830657e-27,3.00918234190622e-44,4.05369679198477e-165,2.92834529269722e-173,2.16424596711228e-41
0.000218101682388281,3.59842485684332e-87,1.00423165750619e-28,8.72084806588335e-36,7.80971380610202e-41,3.04544657121344e-34,3.22943769038809e-26,1.89880164704815e-145,3.68059880131354e-191,6.77886588057612e-34
1.1198663409148e-13,4.8798396588836e-102,2.93042356626881e-53,8.21511559403549e-29,2.04841632869998e-83,1.50931136418316e-21,2.39971448248588e-39,8.39219813586506e-161,1.41857958516399e-171,1.19060313712428e-40
2.53459708774167e-07,1.22616527890953e-76,4.10745274524436e-20,8.187564615889e-37,9.33824120082558e-49,3.9542327247806e-38,2.86800893309899e-31,2.18574172209464e-132,5.14913957874668e-155,6.5309122875234e-34
6.51289798287171e-06,4.03721967968444e-75,4.5910697707388e-38,5.82178551457745e-40,1.03354705234989e-51,6.90075900437351e-30,3.54155762040512e-27,1.55179378842606e-151,3.91843107436078e-149,1.63456570317789e-75
1.2337870584764e-07,2.23979336765643e-82,6.97974482206818e-35,3.70977649680973e-41,3.18788076531379e-74,6.21911097665686e-30,2.41583063984884e-32,6.61964438520029e-146,5.58145352744312e-171,1.62545741215957e-41
9.48605129937414e-08,1.25660941884288e-91,2.79075754441952e-24,3.2282304891463e-45,1.56233947167207e-67,1.42064631001206e-25,2.95936893999174e-36,1.3450747053669e-176,3.74747233620521e-208,3.36046571704725e-51
3.03709232346075e-06,6.6338792627839e-83,1.04767670453601e-36,3.48724815153559e-38,1.07959567099524e-54,3.4607641879648e-19,4.63793793826548e-31,2.10706167244024e-174,4.41053450041711e-165,7.72151528584542e-46
