"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1.09077226592248e-05,1.3657313391761e-71,6.96456894108496e-37,6.17323272377257e-24,2.17816294121623e-85,4.50521412998352e-23,3.93013090070716e-30,1.41690618623884e-147,5.80060337700216e-130,1.91359896931308e-27
1.77783289547021e-07,8.78382175739797e-79,1.1288100012619e-29,1.03731436002737e-38,1.53542648882624e-89,3.32141023292593e-31,1.45450999674857e-30,2.82090877208117e-141,3.39340054466224e-179,6.46496706434161e-54
3.39951749794949e-07,4.25118428511099e-92,1.05540820473456e-18,1.23961251965021e-33,2.51103800089927e-88,2.82365488653799e-24,6.30087158783778e-41,1.05054094313528e-95,2.64426344451125e-175,1.52736599202622e-31
1.90828327263895e-09,3.25048456901916e-85,1.12989566819144e-16,5.84795624490772e-36,5.96434670559339e-121,1.46313504044267e-25,1.62330100588016e-27,5.61757284630402e-92,1.0908231396243e-167,8.54995080701587e-46
5.11537542996757e-08,1.83189929900476e-147,1.34359962437301e-39,6.76943883945945e-44,1.17333802100885e-68,6.80012222337294e-31,1.0344449005628e-33,1.82336591126735e-170,1.23390341664623e-184,2.85747891943405e-43
1.22973977397647e-06,8.99929107150614e-118,2.37780790272723e-28,1.58699205707312e-47,1.40466350943214e-116,2.06706613987457e-21,2.61228140821566e-30,1.29256100169481e-80,1.93474543571794e-192,5.63321897708423e-42
1.8029795255643e-07,9.16758118090905e-88,1.57637702002882e-31,3.59186964707924e-38,2.01565117090851e-56,2.06717936209669e-24,3.87769438308338e-30,4.08502050391245e-151,3.88525322752742e-191,6.82156794070452e-58
7.35904976921349e-09,2.04240525818576e-84,1.35510423648526e-31,3.58415381373391e-37,3.05159397391498e-90,5.58312151488441e-29,3.65171292743915e-32,5.90981981050132e-153,1.68527860868925e-157,2.15904281365894e-54
1.96166017685718e-06,1.15867568623046e-93,1.19790507898345e-36,4.32776638919924e-46,3.38821307093909e-78,4.79180073649264e-37,2.15315725021861e-31,1.58829583141001e-136,1.3385165177894e-194,1.21476852300831e-45
1.1334373897198e-07,1.98184277718121e-96,3.90898725232907e-39,7.3013864164634e-47,1.10427163690282e-84,4.65833324697574e-26,1.58993537956433e-31,1.28836305464897e-175,2.48579626960441e-204,3.32239536030841e-48
2.74876139560034e-05,9.61729919313879e-91,1.49736355971953e-38,2.30966890463207e-35,3.95305406597746e-38,4.199142386106e-27,1.47410940543704e-30,1.11505519383785e-158,1.11367898804073e-157,4.1243909883782e-54
8.76671205191845e-07,6.55920186166656e-70,1.45369179961266e-22,4.79784212333715e-25,2.2367464185447e-117,1.39824171374966e-26,8.42154723088269e-35,1.76362561903569e-116,4.16957611560516e-153,1.95234219671856e-28
8.20996424815157e-08,4.81298115146493e-78,6.3185059587561e-35,2.01004350453631e-46,1.74455998277177e-121,2.99266753005819e-29,7.6151046022769e-31,1.25869950857858e-94,3.26577367872395e-178,1.09209333216382e-39
7.45320983406554e-12,8.63446074563884e-95,3.54223179763922e-25,6.65261845580204e-42,7.8857201743855e-111,3.024074834018e-28,1.30578167551663e-39,2.54585223441403e-124,4.7054614038032e-169,1.02016439470566e-39
1.90047825641612e-06,1.05550836707065e-68,9.28862767494517e-28,6.48414998419787e-33,1.12503568434613e-57,6.62026875248411e-23,1.51220693630747e-33,5.68768058183229e-148,1.71295344841091e-153,6.0278381738336e-36
0.000420549567361601,3.81312464041903e-95,1.51788808246386e-23,5.11885884621566e-46,1.30157297129509e-78,2.910696087776e-30,1.85631708398849e-38,7.08168392223001e-139,4.20583224770395e-178,8.18998891484997e-46
8.46179180330031e-05,9.7835539018236e-85,2.93419979240368e-20,1.49106256725253e-24,6.5241756472698e-91,1.97254587447857e-29,2.69463590233336e-36,4.19555362766664e-119,9.69860011894826e-169,2.09229848131567e-43
0.000237252547782499,3.25544624313684e-73,3.47776591282101e-17,2.75388305034176e-32,2.2397224154388e-84,6.73633944915107e-21,1.956124201382e-34,9.66046986498521e-93,2.24280977628521e-144,3.54675203149565e-26
1.31478879203251e-07,4.78341833250837e-75,1.14046123894808e-22,3.108839353942e-41,1.68710167081331e-98,2.5433248535573e-31,2.12496945856654e-46,4.41616604496317e-127,7.57147965074535e-160,5.82627570045889e-40
1.98212732209189e-07,3.12819389186529e-83,5.02716992228471e-24,5.32073156198012e-43,1.17063709161754e-57,2.7679396385546e-29,3.95261200406428e-29,7.46108106256281e-113,5.71728720241923e-181,5.53241033263111e-65
1.50016046305575e-07,1.87760109680924e-67,1.6644187818385e-21,2.07689378831601e-35,3.31398487038085e-125,3.80588811147492e-28,8.45259433796469e-24,2.63274310293275e-73,2.62723704112293e-162,2.54737641364949e-34
4.33415348800808e-07,4.47817113611008e-92,8.75986152438302e-23,2.45541261979192e-44,2.0853786441448e-99,2.44728207739502e-25,1.66506774227714e-28,2.17871986108414e-136,1.56181602867687e-143,1.03556263038308e-42
4.68921115669689e-07,1.38422747750642e-76,5.60204037967926e-30,1.40638387013787e-31,8.6431986315951e-79,2.57717272097807e-23,1.99557123561734e-23,1.06677731224877e-131,4.04395723480548e-146,2.7049665184566e-32
5.53802114038116e-07,2.51024569199392e-93,1.29331861705937e-30,1.8997086875969e-35,3.02578841738295e-100,1.02353357075287e-28,1.06080733771209e-29,2.8672732980926e-97,2.50153476769751e-193,4.17026346153058e-41
6.66331118318223e-10,1.29481972123523e-108,5.5627323511065e-29,1.88777724749105e-57,4.49718326855956e-123,1.04245820979594e-37,5.36442220905354e-40,1.77186984883856e-123,1.72730896383229e-231,8.18444279958945e-56
1.06203458167049e-09,2.21835730380627e-85,2.88940529446827e-31,1.78536221495654e-52,5.89865706253252e-41,3.02076094844e-31,1.78759633032096e-35,3.13655334292697e-145,9.99086754481541e-187,4.03023634351165e-35
1.75836854386578e-08,8.7830818782986e-87,1.44800889348336e-23,1.69415072727192e-49,2.331072951937e-109,2.5996379791384e-31,1.31586536754398e-51,4.77805339660461e-98,5.53086527606567e-190,9.37994401187199e-37
6.07343517177355e-08,9.62087978719185e-86,8.22252979891673e-28,1.58363636039256e-34,9.50539234206583e-98,1.51125800343079e-24,8.67539645901553e-25,1.29412171744582e-158,1.72347296261496e-126,1.61420718202954e-37
