"","x"
"1",0.13
"2",0.20719298245614
"3",0.237017543859649
"4",0.202456140350877
"5",0.147719298245614
"6",0.20719298245614
"7",0.232982456140351
"8",0.200350877192982
"9",0.234210526315789
"10",0.199649122807018
"11",0.186666666666667
"12",0.18859649122807
"13",0.224035087719298
"14",0.186140350877193
"15",0.182982456140351
"16",0.218245614035088
"17",0.206140350877193
"18",0.215087719298246
"19",0.208771929824561
"20",0.233684210526316
"21",0.207368421052632
"22",0.193157894736842
"23",0.201754385964912
"24",0.239649122807018
"25",0.239473684210526
"26",0.23
"27",0.23
"28",0.129298245614035
"29",0.208245614035088
"30",0.202280701754386
"31",0.19859649122807
"32",0.220526315789474
"33",0.204385964912281
"34",0.197543859649123
"35",0.195789473684211
"36",0.236842105263158
"37",0.19140350877193
"38",0.214561403508772
"39",0.152456140350877
"40",0.203508771929825
"41",0.233859649122807
"42",0.195614035087719
"43",0.225789473684211
"44",0.229649122807018
"45",0.219122807017544
"46",0.212456140350877
"47",0.215087719298246
"48",0.207017543859649
"49",0.203508771929825
"50",0.245964912280702
"51",0.186842105263158
"52",0.193684210526316
"53",0.18280701754386
"54",0.223859649122807
"55",0.140350877192982
"56",0.183684210526316
"57",0.239824561403509
"58",0.20280701754386
"59",0.172280701754386
"60",0.178771929824561
"61",0.235964912280702
"62",0.242456140350877
"63",0.24
"64",0.228771929824561
"65",0.229824561403509
"66",0.207543859649123
"67",0.234912280701754
"68",0.168245614035088
"69",0.238947368421053
"70",0.205789473684211
"71",0.109649122807018
"72",0.206315789473684
"73",0.164035087719298
"74",0.204035087719298
"75",0.209298245614035
"76",0.224736842105263
"77",0.15859649122807
"78",0.233859649122807
"79",0.15
"80",0.221052631578947
"81",0.201578947368421
"82",0.204736842105263
"83",0.237017543859649
"84",0.187017543859649
"85",0.205438596491228
"86",0.120350877192982
"87",0.22280701754386
"88",0.15719298245614
"89",0.207719298245614
"90",0.225789473684211
"91",0.219298245614035
"92",0.220350877192982
"93",0.215087719298246
"94",0.238070175438596
"95",0.240877192982456
"96",0.226666666666667
"97",0.235789473684211
"98",0.145789473684211
"99",0.20280701754386
"100",0.225614035087719
"101",0.0849122807017544
"102",0.218245614035088
"103",0.202105263157895
"104",0.165438596491228
"105",0.215438596491228
"106",0.225087719298246
"107",0.237719298245614
"108",0.201578947368421
"109",0.229122807017544
"110",0.236491228070175
"111",0.237543859649123
"112",0.188947368421053
"113",0.238771929824561
"114",0.238421052631579
"115",0.227894736842105
"116",0.219824561403509
"117",0.233859649122807
"118",0.234561403508772
"119",0.22
"120",0.238771929824561
"121",0.197543859649123
"122",0.171052631578947
"123",0.189298245614035
"124",0.23
"125",0.233157894736842
"126",0.187719298245614
"127",0.236315789473684
"128",0.215263157894737
"129",0.195087719298246
"130",0.225789473684211
"131",0.162456140350877
"132",0.157894736842105
"133",0.230350877192982
"134",0.178421052631579
"135",0.215964912280702
"136",0.229473684210526
"137",0.238771929824561
"138",0.234210526315789
"139",0.22
"140",0.24280701754386
"141",0.227543859649123
"142",0.215789473684211
"143",0.171754385964912
"144",0.237894736842105
"145",0.230701754385965
"146",0.239649122807018
"147",0.235614035087719
"148",0.203859649122807
"149",0.235964912280702
"150",0.249298245614035
"151",0.234035087719298
"152",0.187719298245614
"153",0.15
"154",0.23280701754386
"155",0.19859649122807
"156",0.225263157894737
"157",0.23140350877193
"158",0.159298245614035
"159",0.220526315789474
"160",0.220350877192982
"161",0.240350877192982
"162",0.0852631578947368
"163",0.215263157894737
"164",0.23719298245614
"165",0.208070175438596
"166",0.212105263157895
"167",0.235614035087719
"168",0.237894736842105
"169",0.179649122807018
"170",0.175438596491228
"171",0.227894736842105
"172",0.21140350877193
"173",0.226315789473684
"174",0.156842105263158
"175",0.156491228070175
"176",0.199824561403509
"177",0.235438596491228
"178",0.160350877192982
"179",0.241228070175439
"180",0.237017543859649
"181",0.199298245614035
"182",0.240526315789474
"183",0.215438596491228
"184",0.143859649122807
"185",0.134561403508772
"186",0.24140350877193
"187",0.202456140350877
"188",0.0994736842105263
"189",0.225789473684211
"190",0.0698245614035088
"191",0.236315789473684
"192",0.193859649122807
"193",0.243157894736842
"194",0.217894736842105
"195",0.195964912280702
"196",0.114385964912281
"197",0.213684210526316
"198",0.19
"199",0.201578947368421
"200",0.204736842105263
"201",0.226491228070175
"202",0.226315789473684
"203",0.230350877192982
"204",0.228245614035088
"205",0.231578947368421
"206",0.240877192982456
"207",0.213508771929825
"208",0.161929824561404
"209",0.141052631578947
"210",0.0982456140350877
"211",0.245263157894737
"212",0.205614035087719
"213",0.180877192982456
"214",0.195263157894737
"215",0.234561403508772
"216",0.231929824561404
"217",0.238771929824561
"218",0.230701754385965
"219",0.227017543859649
"220",0.197719298245614
"221",0.171929824561404
"222",0.213859649122807
"223",0.23140350877193
"224",0.224385964912281
"225",0.208771929824561
"226",0.216842105263158
"227",0.206666666666667
"228",0.196315789473684
"229",0.227719298245614
"230",0.221578947368421
"231",0.219473684210526
"232",0.218245614035088
"233",0.207017543859649
"234",0.210877192982456
"235",0.235263157894737
"236",0.22280701754386
"237",0.244035087719298
"238",0.217719298245614
"239",0.237894736842105
"240",0.22719298245614
"241",0.237368421052632
"242",0.205789473684211
"243",0.224210526315789
"244",0.240350877192982
"245",0.238947368421053
"246",0.172280701754386
"247",0.116315789473684
"248",0.155263157894737
"249",0.210877192982456
"250",0.177894736842105
"251",0.230350877192982
"252",0.209473684210526
"253",0.17859649122807
"254",0.188947368421053
"255",0.215964912280702
"256",0.148947368421053
"257",0.228245614035088
"258",0.19280701754386
"259",0.140701754385965
"260",0.217368421052632
"261",0.202280701754386
"262",0.206666666666667
"263",0.180877192982456
"264",0.234912280701754
"265",0.167543859649123
"266",0.234561403508772
"267",0.181052631578947
"268",0.239122807017544
"269",0.190701754385965
"270",0.23
"271",0.192456140350877
"272",0.24140350877193
"273",0.239649122807018
"274",0.0968421052631579
"275",0.208245614035088
"276",0.209122807017544
"277",0.229298245614035
"278",0.198245614035088
"279",0.198421052631579
"280",0.21859649122807
"281",0.235087719298246
"282",0.187017543859649
"283",0.155789473684211
"284",0.223859649122807
"285",0.107017543859649
"286",0.233508771929825
"287",0.203684210526316
"288",0.227368421052632
"289",0.208947368421053
"290",0.202456140350877
"291",0.151228070175439
"292",0.233508771929825
"293",0.221228070175439
"294",0.209473684210526
"295",0.220526315789474
"296",0.19859649122807
"297",0.149649122807018
"298",0.209298245614035
"299",0.214210526315789
"300",0.150175438596491
"301",0.219473684210526
"302",0.23859649122807
"303",0.22719298245614
"304",0.191052631578947
"305",0.230526315789474
"306",0.186140350877193
"307",0.214561403508772
"308",0.231052631578947
"309",0.229824561403509
"310",0.140877192982456
"311",0.221929824561404
"312",0.171578947368421
"313",0.154210526315789
"314",0.192456140350877
"315",0.229649122807018
"316",0.176491228070175
"317",0.232631578947368
"318",0.203684210526316
"319",0.230175438596491
"320",0.231754385964912
"321",0.123157894736842
"322",0.229122807017544
"323",0.205438596491228
"324",0.180701754385965
"325",0.230877192982456
"326",0.176491228070175
"327",0.22140350877193
"328",0.225789473684211
"329",0.225087719298246
"330",0.238421052631579
"331",0.208070175438596
"332",0.230175438596491
"333",0.190350877192982
"334",0.230701754385965
"335",0.232456140350877
"336",0.241052631578947
"337",0.211228070175439
"338",0.190350877192982
"339",0.111754385964912
"340",0.228771929824561
"341",0.214561403508772
"342",0.230350877192982
"343",0.210175438596491
"344",0.229824561403509
"345",0.228947368421053
"346",0.235964912280702
"347",0.240877192982456
"348",0.210526315789474
"349",0.202456140350877
"350",0.202456140350877
"351",0.182280701754386
"352",0.226315789473684
"353",0.190175438596491
"354",0.239122807017544
"355",0.243859649122807
"356",0.215087719298246
"357",0.194210526315789
"358",0.228421052631579
"359",0.231228070175439
"360",0.17
"361",0.192105263157895
"362",0.189824561403509
"363",0.162631578947368
"364",0.214912280701754
"365",0.0989473684210526
"366",0.231754385964912
"367",0.232982456140351
"368",0.15719298245614
"369",0.170175438596491
"370",0.10280701754386
"371",0.222280701754386
"372",0.218947368421053
"373",0.200175438596491
"374",0.188070175438596
"375",0.229473684210526
"376",0.190701754385965
"377",0.224912280701754
"378",0.118421052631579
"379",0.237894736842105
"380",0.241228070175439
"381",0.234035087719298
"382",0.179122807017544
"383",0.205614035087719
"384",0.232456140350877
"385",0.224035087719298
"386",0.163859649122807
"387",0.182280701754386
"388",0.194736842105263
"389",0.21280701754386
"390",0.245789473684211
"391",0.147719298245614
"392",0.156666666666667
"393",0.159649122807018
"394",0.239649122807018
"395",0.195614035087719
"396",0.196842105263158
"397",0.185438596491228
"398",0.216666666666667
"399",0.230877192982456
"400",0.170175438596491
"401",0.197368421052632
"402",0.239824561403509
"403",0.241929824561403
"404",0.22280701754386
"405",0.143684210526316
"406",0.175789473684211
"407",0.238947368421053
"408",0.204561403508772
"409",0.252456140350877
"410",0.229122807017544
"411",0.214912280701754
"412",0.209122807017544
"413",0.235263157894737
"414",0.187894736842105
"415",0.244210526315789
"416",0.222631578947368
"417",0.217368421052632
"418",0.180175438596491
"419",0.211929824561404
"420",0.211228070175439
"421",0.175964912280702
"422",0.225263157894737
"423",0.211228070175439
"424",0.192456140350877
"425",0.191052631578947
"426",0.206491228070175
"427",0.12
"428",0.214035087719298
"429",0.214210526315789
"430",0.206315789473684
"431",0.194035087719298
"432",0.213684210526316
"433",0.212105263157895
"434",0.233684210526316
"435",0.194385964912281
"436",0.201228070175439
"437",0.174736842105263
"438",0.239298245614035
"439",0.220526315789474
"440",0.237894736842105
"441",0.220877192982456
"442",0.219824561403509
"443",0.229122807017544
"444",0.232280701754386
"445",0.203157894736842
"446",0.229824561403509
"447",0.23
"448",0.114385964912281
"449",0.210175438596491
"450",0.216491228070175
"451",0.201052631578947
"452",0.235087719298246
"453",0.216140350877193
"454",0.215263157894737
"455",0.231754385964912
"456",0.222105263157895
"457",0.19
"458",0.230526315789474
"459",0.243508771929825
"460",0.205789473684211
"461",0.176666666666667
"462",0.24280701754386
"463",0.231578947368421
"464",0.165964912280702
"465",0.124385964912281
"466",0.174035087719298
"467",0.228245614035088
"468",0.231578947368421
"469",0.180701754385965
"470",0.232280701754386
"471",0.232280701754386
"472",0.23859649122807
"473",0.234210526315789
"474",0.0559649122807018
"475",0.201929824561404
"476",0.147894736842105
"477",0.240175438596491
"478",0.233157894736842
"479",0.208947368421053
"480",0.225964912280702
"481",0.245614035087719
"482",0.221052631578947
"483",0.193333333333333
"484",0.234210526315789
"485",0.201929824561404
"486",0.174912280701754
"487",0.22719298245614
"488",0.230350877192982
"489",0.241228070175439
"490",0.162280701754386
"491",0.205438596491228
"492",0.239122807017544
"493",0.216666666666667
"494",0.22859649122807
"495",0.0980701754385965
"496",0.245438596491228
"497",0.219122807017544
"498",0.150701754385965
"499",0.244561403508772
"500",0.238070175438596
"501",0.146666666666667
"502",0.235438596491228
"503",0.220175438596491
"504",0.184912280701754
"505",0.236140350877193
"506",0.218245614035088
"507",0.220701754385965
"508",0.220701754385965
"509",0.227017543859649
"510",0.180877192982456
"511",0.245263157894737
"512",0.237894736842105
"513",0.18
"514",0.189298245614035
"515",0.191578947368421
"516",0.217719298245614
"517",0.197017543859649
"518",0.224561403508772
"519",0.220350877192982
"520",0.235614035087719
"521",0.153157894736842
"522",0.152105263157895
"523",0.223859649122807
"524",0.236666666666667
"525",0.193684210526316
"526",0.233684210526316
"527",0.184912280701754
"528",0.240701754385965
"529",0.227543859649123
"530",0.200701754385965
"531",0.231228070175439
"532",0.220526315789474
"533",0.167017543859649
"534",0.221052631578947
"535",0.132982456140351
"536",0.209824561403509
"537",0.238245614035088
"538",0.206666666666667
"539",0.216842105263158
"540",0.220350877192982
"541",0.209824561403509
"542",0.197894736842105
"543",0.234736842105263
"544",0.131228070175439
"545",0.233684210526316
"546",0.218070175438596
"547",0.228947368421053
"548",0.139824561403509
"549",0.186666666666667
"550",0.190877192982456
"551",0.20719298245614
"552",0.218771929824561
"553",0.202631578947368
"554",0.18
"555",0.230526315789474
"556",0.215964912280702
"557",0.227368421052632
"558",0.21280701754386
"559",0.131052631578947
"560",0.170701754385965
"561",0.236315789473684
"562",0.182456140350877
"563",0.238421052631579
"564",0.215789473684211
"565",0.18719298245614
"566",0.214385964912281
"567",0.188245614035088
"568",0.217543859649123
"569",0.234912280701754
"570",0.233508771929825
"571",0.225263157894737
"572",0.231578947368421
"573",0.144561403508772
"574",0.204561403508772
"575",0.230701754385965
"576",0.109298245614035
"577",0.210701754385965
"578",0.237894736842105
"579",0.208070175438596
"580",0.227894736842105
"581",0.212456140350877
"582",0.226315789473684
"583",0.221754385964912
"584",0.233859649122807
"585",0.226842105263158
"586",0.235614035087719
"587",0.219473684210526
"588",0.191754385964912
"589",0.227017543859649
"590",0.216315789473684
"591",0.210350877192982
"592",0.0782456140350877
"593",0.230877192982456
"594",0.21
"595",0.236842105263158
"596",0.215087719298246
"597",0.241929824561403
"598",0.118245614035088
"599",0.22859649122807
"600",0.242631578947368
"601",0.202631578947368
"602",0.239473684210526
"603",0.202280701754386
"604",0.195263157894737
"605",0.229824561403509
"606",0.186140350877193
"607",0.144912280701754
"608",0.217368421052632
"609",0.231578947368421
"610",0.239298245614035
"611",0.187368421052632
"612",0.14140350877193
"613",0.177894736842105
"614",0.213157894736842
"615",0.223333333333333
"616",0.23719298245614
"617",0.219122807017544
"618",0.218245614035088
"619",0.222456140350877
"620",0.231929824561404
"621",0.235964912280702
"622",0.171754385964912
"623",0.174912280701754
"624",0.229473684210526
"625",0.233157894736842
"626",0.169824561403509
"627",0.207719298245614
"628",0.194736842105263
"629",0.205789473684211
"630",0.24140350877193
"631",0.237017543859649
"632",0.237543859649123
"633",0.222982456140351
"634",0.197543859649123
"635",0.216315789473684
"636",0.218070175438596
"637",0.220175438596491
"638",0.171228070175439
"639",0.23280701754386
"640",0.204210526315789
"641",0.231754385964912
"642",0.231578947368421
"643",0.130350877192982
"644",0.23
"645",0.197894736842105
"646",0.225789473684211
"647",0.19859649122807
"648",0.220350877192982
"649",0.185263157894737
"650",0.226491228070175
"651",0.233508771929825
"652",0.147719298245614
"653",0.186315789473684
"654",0.221754385964912
"655",0.222105263157895
"656",0.20719298245614
"657",0.226491228070175
"658",0.216140350877193
"659",0.20859649122807
"660",0.227368421052632
"661",0.214561403508772
"662",0.237719298245614
"663",0.186315789473684
"664",0.218947368421053
"665",0.219473684210526
"666",0.240350877192982
"667",0.138421052631579
"668",0.223684210526316
"669",0.182280701754386
"670",0.163157894736842
"671",0.205964912280702
"672",0.211929824561404
"673",0.246140350877193
"674",0.201929824561404
"675",0.203333333333333
"676",0.241228070175439
"677",0.233508771929825
"678",0.225789473684211
"679",0.155964912280702
"680",0.216842105263158
"681",0.211578947368421
"682",0.133508771929825
"683",0.181052631578947
"684",0.188421052631579
"685",0.213157894736842
"686",0.205614035087719
"687",0.227719298245614
"688",0.220877192982456
"689",0.234035087719298
"690",0.217017543859649
"691",0.22140350877193
"692",0.249122807017544
"693",0.201754385964912
"694",0.17719298245614
"695",0.211754385964912
"696",0.233333333333333
"697",0.235964912280702
"698",0.240526315789474
"699",0.229122807017544
"700",0.217368421052632
"701",0.229649122807018
"702",0.235087719298246
"703",0.149298245614035
"704",0.210701754385965
"705",0.228947368421053
"706",0.138245614035088
"707",0.173684210526316
"708",0.233157894736842
"709",0.202456140350877
"710",0.223508771929825
"711",0.220877192982456
"712",0.233333333333333
"713",0.235087719298246
"714",0.197017543859649
"715",0.155263157894737
"716",0.203333333333333
"717",0.198245614035088
"718",0.218070175438596
"719",0.184385964912281
"720",0.174035087719298
"721",0.20859649122807
"722",0.212982456140351
"723",0.211754385964912
"724",0.200175438596491
"725",0.199298245614035
"726",0.201578947368421
"727",0.211754385964912
"728",0.130877192982456
"729",0.223333333333333
"730",0.212280701754386
"731",0.229649122807018
"732",0.162631578947368
"733",0.225614035087719
"734",0.0598245614035088
"735",0.232456140350877
"736",0.188947368421053
"737",0.19719298245614
"738",0.233859649122807
"739",0.195614035087719
"740",0.23140350877193
"741",0.203684210526316
"742",0.222631578947368
"743",0.238245614035088
"744",0.228070175438596
"745",0.231929824561404
"746",0.227368421052632
"747",0.197543859649123
"748",0.222280701754386
"749",0.219824561403509
"750",0.191228070175439
"751",0.242280701754386
"752",0.185438596491228
"753",0.230526315789474
"754",0.225789473684211
"755",0.224035087719298
"756",0.223333333333333
"757",0.210526315789474
"758",0.191578947368421
