"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
8.69247215902636e-08,1.02787441476588e-60,3.69831044029355e-31,2.6267776211238e-35,2.48673327161788e-85,9.24846550432092e-47,2.60826182820798e-57,2.68570167674583e-83,3.67563629102563e-114,1.43148251179137e-67
7.58034859564227e-07,8.64135368131338e-67,7.96507494931164e-39,1.8927078939905e-39,4.99527299475813e-86,1.35629813607137e-54,5.53798550968836e-52,2.00017347339651e-85,1.17389028196779e-125,1.1957901857148e-74
1.33104269564477e-11,3.93687725779283e-72,9.41567470550749e-45,3.69480610372234e-44,1.8191292931662e-78,5.10081184398629e-46,5.65804746284602e-65,1.49673443929025e-102,2.08899295698736e-132,5.24783158720233e-67
3.1361847399131e-11,3.52065164336611e-75,1.98500459603896e-28,5.48027968401992e-46,2.92156520440434e-81,1.19935184118783e-50,1.67000907813365e-45,5.00152263659707e-93,1.26291457233205e-106,3.88014200090437e-68
6.31695749175025e-11,1.50976176038079e-83,4.22946724592308e-38,5.57392136561123e-40,1.36073152055468e-91,1.19644159312643e-44,2.66689821537945e-55,9.39755551645237e-106,3.17177280781809e-123,3.63678538410292e-70
2.32668125881982e-09,4.36230365174944e-73,7.47654060534359e-31,3.37600042379216e-42,2.34578933605212e-76,2.17749549881385e-40,3.96745343205417e-46,2.52096260758236e-95,1.31440427511848e-131,2.8659434795659e-68
5.54228810688131e-09,4.95733860519564e-70,1.08321552679324e-29,8.93172379401385e-35,5.40661670294045e-94,2.12924324616558e-42,9.91193493132616e-42,1.94705929103061e-82,7.60634550638627e-98,2.09457000348234e-58
5.82176857090161e-10,1.37615809959875e-58,1.90501839767678e-29,5.08899068748405e-40,5.87442290047042e-79,4.96643412768883e-49,8.60556385445338e-52,2.72417499621589e-90,2.60399598937496e-115,1.18344414419587e-51
1.2074389223269e-08,1.52255195443552e-72,2.60754050616726e-44,5.38721657626768e-39,1.7333599448926e-101,2.72433382759388e-50,9.73445390536065e-74,3.84416623622215e-98,4.91046383573073e-121,1.06052289105685e-60
2.42960703858805e-11,1.16930720749413e-81,1.07935557015092e-34,3.31889948698167e-40,2.16812684631957e-88,5.73409580827474e-50,6.56898169416094e-56,1.72146025441922e-106,2.91458632910129e-114,1.10450353164107e-67
1.50944548238141e-12,1.48447308219862e-71,6.08948362059439e-39,1.82731534458371e-40,4.84480023279387e-93,4.01437679787806e-52,3.93094410110753e-43,1.66412410782662e-98,3.57314559791463e-119,2.79416535631333e-70
8.41511285102315e-06,7.1319445551121e-59,5.06028870585139e-26,2.21679631712278e-35,8.25817624983242e-78,2.5254282173062e-44,1.25434524476983e-50,4.40356023545776e-97,1.62738135148731e-106,2.51710134453374e-44
4.63281524489604e-07,1.14580940316308e-76,1.82572823321904e-39,1.17372381894701e-47,9.38173857837663e-89,8.9071428864291e-46,2.58401951311547e-53,5.9148019520642e-98,2.83630065446658e-115,1.39511427686241e-81
5.27422891711186e-13,2.06168497236644e-60,7.47359337049609e-38,1.68831859944312e-39,2.52331035417719e-87,1.24667061023127e-47,1.3960067161777e-44,1.01053330265068e-88,7.77094784038824e-106,4.15110138223248e-68
3.59232951875002e-11,1.45081345435325e-88,1.08778672563879e-44,1.77476965636588e-49,1.24717119842372e-99,2.1553262725568e-52,6.89807003030031e-68,2.42761511109847e-122,5.67904082793172e-109,1.78400771627533e-58
7.50363006353604e-12,4.39618188539102e-66,1.80808219541369e-34,1.494715689066e-45,2.20478856315344e-91,2.88212934890674e-50,2.18563005207142e-54,1.21627306581285e-114,1.03818379383487e-116,3.06042019023996e-72
3.20842843246324e-07,2.52304493271831e-83,1.12899736717197e-30,1.23324512504129e-47,6.68952953810277e-104,3.32740658596504e-57,2.17119939791522e-56,4.90308530923767e-121,1.25091466054675e-107,1.25271422077457e-76
7.90207970781079e-10,1.50453653127098e-73,1.53943812683554e-28,7.37764320595506e-45,1.59660837039959e-89,2.60078415299351e-44,4.3368996837899e-49,9.5186831237837e-89,2.12279818897014e-115,1.85988677496571e-64
1.24543145441805e-11,1.90848631300234e-79,5.05755609218021e-43,2.76047391963082e-45,2.01309786422514e-89,3.72172029453209e-54,2.37118824122276e-62,7.61418449357963e-100,1.43272099508626e-116,3.96039911765014e-74
2.60777963275379e-13,4.78188352144645e-79,7.1394916926427e-28,6.51867674562029e-47,4.38527114860127e-80,4.94387732440016e-44,1.23457916584179e-51,3.90756911323356e-90,4.26456467616629e-110,3.09081397815223e-67
3.03327129801188e-07,5.24259071610273e-65,1.97277452515843e-29,8.33714181478828e-40,2.13224623565755e-83,9.77220289406059e-40,1.24603126715342e-46,7.63600689519532e-94,4.06225665208891e-107,3.30867595440621e-68
1.45179195505759e-07,3.09840254512471e-73,2.19199317369908e-29,3.38285534518647e-47,7.96640553471398e-91,3.52050941397812e-47,3.490416776952e-47,7.14419751274516e-106,9.92059455765522e-112,1.1475122986595e-59
1.51653744685427e-09,8.8723954402877e-63,8.22274613016751e-38,1.38866408328342e-33,5.2609331549407e-75,7.28947637654651e-39,4.90644023694995e-51,6.17613725999702e-95,5.8653231483677e-123,6.6646579924985e-72
3.52627853062416e-07,4.82533484214813e-55,2.29964503277556e-25,4.42867743112384e-36,3.28830247767459e-67,2.61430153825804e-30,3.64035336196067e-41,1.17480658248605e-80,2.73951993818684e-97,2.318217418335e-49
8.61889474107096e-05,6.79875585002234e-72,5.90535572844917e-37,3.94606213007549e-38,1.20320239160814e-82,1.07089922208259e-41,3.19791151543768e-57,1.48755469339527e-100,8.82732020089074e-112,1.49215056885584e-58
8.97180675042564e-10,3.27226915895006e-77,2.21308235400988e-31,1.44221825172339e-44,1.1399632185919e-92,9.33501840118656e-46,1.74059333813219e-42,2.66196793028669e-96,1.41164404233859e-88,5.44090759348636e-52
1.2598741694846e-10,2.35575088605322e-64,7.17683878623952e-29,6.80190783463051e-52,7.86852936332075e-77,1.51961942850333e-46,3.08320599066374e-48,2.3229822054837e-105,6.80444790381322e-108,2.64264811654207e-56
9.57221923388835e-07,4.52879793499664e-82,1.20178598129476e-30,4.33763561724141e-40,5.49632983194859e-84,2.06521557903342e-47,1.55755457324372e-50,4.842412616192e-92,3.8764494820888e-109,1.80399497397629e-52
