"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
5.330661229345e-07,4.30272155209564e-83,8.85295256012653e-31,4.86634407566026e-44,1.16698688488631e-98,1.42706144102858e-41,1.46082874116401e-48,1.95551115286944e-113,8.62052590081743e-143,5.09107638117159e-66
6.26803181500847e-13,3.70080449253504e-81,3.78581883942298e-25,1.86610313027389e-54,8.8576006082849e-94,6.64433269278961e-47,1.32616116405624e-66,3.01956357381622e-99,9.75486373695352e-136,3.38547926394162e-64
1.16208598314563e-11,8.07971507093862e-81,1.41768749493416e-40,4.58457439942917e-55,1.77288751494085e-100,7.8501041776162e-48,4.08743500955294e-59,5.99275510666314e-125,4.39295086608291e-147,2.06629334313085e-64
9.87059730680198e-09,3.4004689058658e-71,1.00046498186934e-37,3.3693896212544e-32,1.19929533478658e-96,1.37272617437864e-58,9.76109159084297e-54,9.48475798484029e-123,1.74251813460664e-118,9.42351522003887e-69
0.000185838405182225,4.96762713830935e-81,5.23297696093289e-25,2.91386520167113e-37,1.97414728519255e-92,2.39593467023773e-56,1.66529714158178e-53,8.72360377987017e-100,1.85072592251489e-121,4.15735422976675e-65
6.43035313071557e-12,2.13284551706477e-78,3.45810925827181e-29,3.47523445615106e-47,4.17106000486601e-98,1.35780990527339e-45,3.77777392038598e-53,2.99335917172067e-87,1.45715605033564e-105,1.27413232664954e-72
2.56513786713322e-06,9.36660195972223e-79,7.14492859951525e-32,2.3603797124463e-38,3.00812399787222e-98,1.34887050843923e-42,1.63480445811295e-59,7.57160136406185e-95,6.79054529023665e-109,2.93624654366341e-56
3.23709545636149e-09,5.63239188944631e-68,1.02907232979672e-30,3.07282752807486e-40,1.40602973058348e-101,1.62480504030679e-56,6.83925521432011e-52,1.32196640362764e-105,9.88915189722292e-101,1.36878190673111e-68
2.22988288158671e-09,9.78482222471986e-71,5.13290270841612e-48,1.15490224426034e-44,8.08815315480167e-103,2.51565219737387e-44,4.70203006705668e-73,1.19636937371247e-92,3.77234294305151e-109,1.54296892796262e-82
1.26201235417503e-09,2.55447103450377e-70,8.9097132674147e-36,1.16582181827128e-52,1.14162240541119e-82,8.77221584221788e-50,1.76977295814822e-54,9.89896407142026e-123,5.21299303650203e-115,9.04271856397479e-66
2.48484663030027e-10,2.07474299173406e-81,5.5497336583243e-34,3.50820339019746e-47,1.85203829830712e-93,1.271226000613e-45,1.77468706585984e-56,1.34630051400638e-80,4.48754173035138e-118,1.48097485333122e-65
3.15491260731645e-12,5.18725493125143e-68,2.29995993249865e-34,5.45411392251807e-40,8.07511459285752e-88,2.68978795159336e-45,2.06285132407512e-55,3.05279963947816e-108,3.08748796447673e-122,1.8847822978376e-62
2.58953150438841e-12,9.26427708899642e-77,4.01916213779987e-34,1.35448428224643e-39,1.47944423419838e-94,1.44171577952737e-51,1.52130515460507e-59,5.06354115509258e-115,1.42922805886214e-124,1.6685306737988e-64
1.09172684849346e-10,5.99363162001751e-88,3.801456167804e-36,1.16779987742262e-43,3.9035599975763e-91,6.80840844828535e-56,6.19862602889328e-48,1.18805309572991e-102,7.16466068922234e-116,5.05478121215677e-63
1.03368954397292e-10,4.228604452388e-71,1.09912876866168e-32,4.2256566256515e-49,6.3476209626612e-100,1.43773436100757e-46,1.32215753395199e-61,4.78042135124223e-111,3.03781519990491e-132,2.4025279693306e-76
1.37581075647744e-07,3.49323103614344e-68,1.60602630014211e-23,1.01768299914249e-37,2.21117742593688e-74,1.21640260741268e-58,4.24555211901968e-52,3.35589950634648e-103,4.63994607495799e-99,2.19314232472945e-65
1.83794792906536e-08,2.68151936204279e-70,5.82812484916391e-31,9.95829746407061e-42,2.51672164124245e-68,6.94234400815827e-41,3.51095623936063e-49,2.83503979710961e-100,5.60318706942795e-111,1.9631526679663e-52
8.87218091190633e-08,2.79164040248378e-79,1.31551618494413e-32,5.94908732057236e-32,2.85588233153635e-79,6.97258856473093e-38,1.00287264736885e-49,7.45258965298199e-95,8.80150412474612e-112,4.5387424726603e-59
2.80210877011759e-07,7.82939609190297e-65,1.18400010651921e-29,1.16567149700669e-37,1.08741213988055e-85,9.57168579567098e-46,2.44524341569769e-54,9.91663382783718e-90,1.18379729917672e-119,6.96578960134856e-68
1.83872435744622e-07,1.89244094305234e-65,2.27831423017188e-39,5.78036456048428e-40,4.92891781373045e-97,2.41579980868962e-59,2.1085132081072e-54,8.28813204066894e-83,8.71576996339575e-130,3.69285142716111e-74
6.75787358045605e-12,2.21510538888457e-73,9.28146177177852e-48,1.2730486582268e-45,4.55607615357149e-85,1.11363959961386e-47,4.65644437924543e-68,4.67678232842069e-107,8.71460921001411e-137,3.07882864283964e-64
4.85237792154832e-11,2.76097657762493e-77,6.86232078626088e-28,2.80841867124172e-45,1.10046120175259e-89,1.18332513446765e-50,5.5258256733148e-49,5.95251142175903e-97,5.04433628314408e-119,7.88328209258932e-69
1.404716570352e-11,2.939835469685e-84,2.45667518327835e-38,2.70454767095597e-42,1.21803368251089e-100,1.24375169271296e-43,1.40179951475985e-53,1.4059860975766e-113,6.76626451284785e-124,2.08834608132324e-65
1.89012650747742e-09,5.68005082789567e-71,1.29739151269383e-32,8.36124745221799e-46,4.63558953792998e-80,1.0528368566667e-38,2.38092862964395e-48,3.44438211639447e-92,5.11517489230221e-141,3.83393606880705e-72
6.44682002468232e-08,5.71575131396619e-74,1.10532245627208e-27,2.32046621942854e-38,1.24935205556354e-94,1.75355030343863e-37,2.27366678293722e-42,4.7492407315545e-85,1.0345141550372e-105,4.64733059559513e-56
1.26158006417794e-10,4.67904181968857e-61,1.99875360285204e-27,2.87838748716875e-41,3.98652878713182e-82,4.29452508846059e-50,2.2113959965913e-54,2.01960922742298e-100,6.77811053314993e-134,4.37793643558155e-54
1.48679615368615e-08,2.6086000695986e-73,3.77978927459542e-44,2.89323271310548e-39,5.8849568993795e-104,1.39095071965404e-48,5.24710955584935e-74,5.09162878694041e-101,4.73691015829325e-125,3.89786694089847e-56
3.45450026493026e-12,2.57109407120901e-85,2.87979994971103e-36,8.93571935989005e-42,8.12694864356761e-92,1.34778377214319e-49,1.10373211505516e-58,1.05834307825773e-107,5.35556936874275e-115,2.30399511659252e-62
1.52432818257922e-13,2.97303653307291e-73,3.16821425625937e-41,2.46367149929689e-42,6.23635056044283e-96,9.22489489618934e-49,9.49519788333685e-43,7.96818525510875e-99,9.28363374168589e-127,7.34630053383228e-71
2.40007351494448e-06,2.56216137123027e-61,4.10333445193186e-26,8.18723212193983e-38,5.04827889818883e-87,3.98879170810961e-44,4.17990919180212e-55,7.83569481151607e-106,1.91609959806311e-120,2.81698373860225e-45
