Dwell,Music,Dwell:Music,Dwell:B1,Music:B1,Music:FirstCysto
0.0851197900540046,0.983453542939955,0.6035268642440046,0.243235092964318,0.6943042419260149,0.14626186290947393
0.8581126608594336,0.9929611950573608,0.4137152393037348,0.7649400143187006,0.1772703016530371,0.09783096692958211
0.3678108369732663,0.7667131867401545,0.7377718928527702,0.4078427916521574,0.516103108740528,0.009861796468563683
0.31906740983831433,0.6962323750588808,0.9364629698890409,0.17168652426818004,0.22703170720860125,0.5218837981100726
0.1448426929920684,0.2814560850948903,0.16027830469986779,0.5155497956104387,0.7911798923894875,0.499144041751002
0.6342858177244417,0.30102441788920664,0.9686133314636091,0.5054653145364751,0.3068088544139438,0.2466359895737703
0.43895566251323426,0.6821879960820247,0.49410170800209413,0.006977387673383161,0.07188412089358359,0.8647634501489289
0.24595833406876214,0.8845718952363715,0.319109763236348,0.7594686344294405,0.9224527598431674,0.12203755367161609
0.9247342906207507,0.41781486643298626,0.5538591395569069,0.6280179432042954,0.41201464233615803,0.9560028175764338
0.6754229041030838,0.8309973540701426,0.8902852797213672,0.781951544889056,0.833800300538959,0.5303598087366835
0.08413456460476895,0.46133309762052066,0.428768679096311,0.17152036052389513,0.9017397610964476,0.3836926130593277
0.25436355619847584,0.9994476632457902,0.27437816976663115,0.7331986243140902,0.5681751192015084,0.23488877432260244
0.9472494695117132,0.26288820557712067,0.2730224188147166,0.5591998050017615,0.12605144935269674,0.18454789591493106
0.8284329464602985,0.3666064241064248,0.6473746448965672,0.5129128171597507,0.30704186194979344,0.31148315595289977
0.5167514473322518,0.14865082404585545,0.35086693691227516,0.9385965286318833,0.5337262759681161,0.294192348209998
0.5450105084612175,0.7021724387119626,0.7367970300403525,0.33405711332830823,0.275082299844322,0.844381896049778
0.7373284461462534,0.5884204055230794,0.46935004393811,0.8708805430994317,0.2634273245649807,0.5346345069383861
0.3552032177127562,0.34150217118504733,0.9228080878861786,0.27714630332536905,0.6002720871919198,0.9674661540649696
0.4167579471276271,0.5412920405533627,0.5758928881199554,0.38665241113060017,0.0722418478642273,0.15736485368294967
0.6547752689376299,0.4428829386996507,0.7135282674340118,0.0971323748803707,0.7555118561845432,0.14962047462350458
0.3471142746925897,0.9196435994466877,0.8078092075517818,0.20565794796534734,0.7011057015185861,0.29376764083256707
0.10143859118003858,0.7560707230408177,0.6944824006497183,0.04919913274379673,0.6461878543128713,0.8758302778922424
0.36948131189329303,0.23195655791724862,0.5144739402360075,0.31179643931088097,0.6372303887127624,0.9298976865622104
0.5064691990052417,0.035689751267321206,0.024470199264886194,0.3585447040201265,0.7067533557439184,0.35858197088381477
0.15575385643718279,0.2126446341263374,0.9077528428143314,0.36607480948235055,0.35412636553095256,0.027506947357983508
0.8955339765832766,0.5082355210478003,0.14766617500716323,0.8634579296767543,0.35625015826989836,0.2972001778214379
0.47521795574808806,0.36986333834157664,0.8532891431208871,0.0626157592475605,0.8853437590757512,0.9145951945960932
0.4987316922953556,0.6010290522372211,0.8772445611821706,0.9585303855927136,0.8600695284593897,0.6338695275453707
0.9839032938682467,0.6512642155222619,0.7924663788664964,0.8689214200778557,0.8748509032043441,0.9809944615632045
0.8060841341243125,0.8423772895129781,0.6153994097867952,0.272011077773923,0.9377781464041172,0.1995573220178727
0.49825336261455894,0.1943739626981224,0.2869401299080339,0.290430029191074,0.996262135558143,0.22687074811419558
0.05758694638221826,0.06660008335511276,0.19601289115354545,0.9244645362917245,0.10066947393975899,0.4355950586577232
0.29030686660368593,0.4070441235383522,0.6895791750576787,0.05017845626203974,0.34339593954712744,0.2704978565391367
