Dwell,Music,Dwell:Music,Dwell:B1,Music:B1,Music:FirstCysto
3.7887131347019015e-4,1.611408699488189e-9,3.517965158357493e-5,0.12316821686025639,9.862008831598671e-21,1.3103442482538869e-6
0.002911132850311079,3.605252707970213e-11,0.0030209629798884116,0.005516296333561947,1.2689422864725105e-19,0.10082385995340071
0.0025843184641500985,2.4893098293829567e-13,0.0033172366544718425,0.010580305172970874,9.094969831842392e-23,0.02788350500897733
8.216538551925661e-4,1.8694766239941506e-10,2.1837347962003088e-5,1.867611345072381e-4,3.7518697063844913e-22,1.6090110673380676e-6
3.0855613559152926e-6,1.491772595595019e-16,2.4784508047048646e-4,0.05199092704589702,1.034884298221232e-24,0.0020220496421706037
1.8628437313587515e-5,7.599033129303821e-18,0.0016530174646509576,6.551868540034532e-4,3.495353723122638e-20,0.2553793396919502
2.7900130645077673e-5,4.570535221774108e-16,1.6765388290374903e-5,0.1000672613216353,1.4576010085764668e-33,3.0056739530317834e-5
1.0455627124611226e-5,1.5509151428551127e-16,8.356473614653432e-4,0.018660440902521568,4.535111527674078e-31,0.003466743103671313
4.797947866437611e-8,2.7342082636113777e-10,9.916519199207783e-6,3.4535689516273943e-6,5.0966071746222246e-20,5.85528509580583e-11
5.891319863849735e-6,8.104633837488331e-14,0.003297997676978705,1.9357148870885406e-4,1.1281824558310988e-27,4.94872618923776e-6
3.0309991327872065e-7,1.0879602667579394e-13,2.572008742648836e-4,2.3503387422462794e-4,3.426663998005008e-27,0.010365790608810618
2.442662862065767e-4,1.961004975259168e-14,7.323586289916285e-4,1.9937191620448628e-7,9.428428652270439e-18,0.07716422372525963
5.8474559055908166e-8,2.2441373254453118e-13,4.549628733610538e-9,0.004675415562723895,4.7426496298877953e-20,3.6139309084983164e-6
5.659023224930399e-4,4.300757515873283e-10,0.16669353453923436,2.9208182813786755e-5,3.017254837906705e-22,0.019592431585400322
1.6955992172399504e-4,3.830800982049486e-13,0.00475158184084627,0.03830209679909278,1.1689829008525186e-29,2.4420818320400134e-5
6.944261223511419e-5,4.870094737043063e-14,6.095787870125315e-6,0.017435089782231603,1.4355249549838815e-20,0.020629440417305515
3.467708095248318e-4,1.2830729935388773e-7,0.060203541927808905,9.515449278021411e-5,8.206488971143201e-16,8.579956696185758e-4
